,feature,variance,unique_values,zero_variance,near_zero_variance
15,rho_at_clip_count,0.0,1,True,True
29,total_lines,0.0,1,True,True
7,min_rho,0.00021048899950290765,52723,False,False
10,std_rho,0.004209311814980822,279559,False,False
9,median_rho,0.0064236473091318835,274756,False,False
8,mean_rho,0.006428914881758417,279550,False,False
11,rho_q75,0.012400419356557165,277236,False,False
22,load_gen_ratio,0.013321372754476861,279545,False,False
32,connected_fraction,0.013428805578386372,14,False,False
6,max_rho,0.11221323761581127,274141,False,False
12,rho_range,0.11459123130780827,275760,False,False
1,label_int,1.0566256872411797,4,False,False
14,rho_above_100_pct,3.1946350495723874,19,False,False
26,mean_abs_q_or,5.0326408565355685,279557,False,False
13,rho_above_90_pct,5.6258840030689,21,False,False
23,power_balance,29.225506399294176,279175,False,False
24,abs_power_balance,29.225506399294176,279175,False,False
17,mean_load,40.2592284604387,158308,False,False
25,mean_abs_p_or,41.678767922992805,279552,False,False
30,connected_lines,46.74567221836295,14,False,False
31,disconnected_lines,46.74567221836295,14,False,False
20,mean_gen,114.46913852178362,279523,False,False
18,std_load,120.15994441627117,159972,False,False
2,fault_loc,121.57914923661968,31,False,False
21,std_gen,138.64758837289804,279545,False,False
28,mean_v_ex,339.5684068204773,274064,False,False
27,mean_v_or,404.2356363494022,275400,False,False
5,reward,623.9994672729117,261869,False,False
3,timestep,29952.77312598402,1455,False,False
16,total_load,55114.883762340585,158308,False,False
19,total_gen,55403.06304454326,279523,False,False
4,chronic_id,77452751.32561107,26605,False,False
0,record_index,7500025000.0,300000,False,False
