,max_rho,mean_rho,std_rho,rho_range,rho_above_90_pct,rho_above_100_pct,total_load,total_gen,load_gen_ratio,power_balance,abs_power_balance,mean_abs_p_or,mean_abs_q_or,mean_v_or,mean_v_ex,connected_lines,disconnected_lines,connected_fraction
max_rho,1.0,0.6448,0.8949,0.9991,0.7237,0.7086,0.2602,0.2729,0.2982,0.5806,0.5806,0.4538,0.3144,0.2271,0.2397,0.2641,-0.2641,0.2641
mean_rho,0.6448,1.0,0.7519,0.6378,0.5673,0.5236,0.2994,0.3182,0.4565,0.8517,0.8517,0.9263,0.6371,0.4405,0.447,0.4613,-0.4613,0.4613
std_rho,0.8949,0.7519,1.0,0.895,0.8359,0.8168,0.1819,0.1975,0.3328,0.6996,0.6996,0.5389,0.3771,0.2511,0.264,0.2879,-0.2879,0.2879
rho_range,0.9991,0.6378,0.895,1.0,0.7244,0.7088,0.2531,0.2657,0.2926,0.5769,0.5769,0.4471,0.3055,0.2185,0.2312,0.2554,-0.2554,0.2554
rho_above_90_pct,0.7237,0.5673,0.8359,0.7244,1.0,0.9176,0.0472,0.0614,0.0196,0.6222,0.6222,0.3372,0.143,-0.0437,-0.0329,-0.0095,0.0095,-0.0095
rho_above_100_pct,0.7086,0.5236,0.8168,0.7088,0.9176,1.0,0.0456,0.0588,0.0149,0.5771,0.5771,0.2786,0.1291,-0.0479,-0.0382,-0.0149,0.0149,-0.0149
total_load,0.2602,0.2994,0.1819,0.2531,0.0472,0.0456,1.0,0.9997,0.375,0.102,0.102,0.1857,0.4485,0.3444,0.3442,0.348,-0.348,0.348
total_gen,0.2729,0.3182,0.1975,0.2657,0.0614,0.0588,0.9997,1.0,0.3776,0.1247,0.1247,0.2038,0.4551,0.3465,0.3465,0.3506,-0.3506,0.3506
load_gen_ratio,0.2982,0.4565,0.3328,0.2926,0.0196,0.0149,0.375,0.3776,1.0,0.1578,0.1578,0.4373,0.8264,0.9853,0.9859,0.9872,-0.9872,0.9872
power_balance,0.5806,0.8517,0.6996,0.5769,0.6222,0.5771,0.102,0.1247,0.1578,1.0,1.0,0.8094,0.3386,0.1302,0.1385,0.1527,-0.1527,0.1527
abs_power_balance,0.5806,0.8517,0.6996,0.5769,0.6222,0.5771,0.102,0.1247,0.1578,1.0,1.0,0.8094,0.3386,0.1302,0.1385,0.1527,-0.1527,0.1527
mean_abs_p_or,0.4538,0.9263,0.5389,0.4471,0.3372,0.2786,0.1857,0.2038,0.4373,0.8094,0.8094,1.0,0.5746,0.4451,0.4505,0.4548,-0.4548,0.4548
mean_abs_q_or,0.3144,0.6371,0.3771,0.3055,0.143,0.1291,0.4485,0.4551,0.8264,0.3386,0.3386,0.5746,1.0,0.8434,0.8315,0.8306,-0.8306,0.8306
mean_v_or,0.2271,0.4405,0.2511,0.2185,-0.0437,-0.0479,0.3444,0.3465,0.9853,0.1302,0.1302,0.4451,0.8434,1.0,0.9984,0.9975,-0.9975,0.9975
mean_v_ex,0.2397,0.447,0.264,0.2312,-0.0329,-0.0382,0.3442,0.3465,0.9859,0.1385,0.1385,0.4505,0.8315,0.9984,1.0,0.9982,-0.9982,0.9982
connected_lines,0.2641,0.4613,0.2879,0.2554,-0.0095,-0.0149,0.348,0.3506,0.9872,0.1527,0.1527,0.4548,0.8306,0.9975,0.9982,1.0,-1.0,1.0
disconnected_lines,-0.2641,-0.4613,-0.2879,-0.2554,0.0095,0.0149,-0.348,-0.3506,-0.9872,-0.1527,-0.1527,-0.4548,-0.8306,-0.9975,-0.9982,-1.0,1.0,-1.0
connected_fraction,0.2641,0.4613,0.2879,0.2554,-0.0095,-0.0149,0.348,0.3506,0.9872,0.1527,0.1527,0.4548,0.8306,0.9975,0.9982,1.0,-1.0,1.0
