,feature_1,feature_2,correlation
0,max_rho,rho_range,0.9991268550423464
1,mean_rho,mean_abs_p_or,0.9262940451536662
2,rho_above_90_pct,rho_above_100_pct,0.9175589185308332
3,total_load,total_gen,0.9997389574629094
4,load_gen_ratio,mean_v_or,0.9852973003828188
5,load_gen_ratio,mean_v_ex,0.9859205275815381
6,load_gen_ratio,connected_lines,0.987162340212873
7,load_gen_ratio,disconnected_lines,-0.987162340212874
8,load_gen_ratio,connected_fraction,0.9871623402128914
9,power_balance,abs_power_balance,1.0
10,mean_v_or,mean_v_ex,0.998358141425637
11,mean_v_or,connected_lines,0.9974595830307916
12,mean_v_or,disconnected_lines,-0.997459583030792
13,mean_v_or,connected_fraction,0.9974595830307873
14,mean_v_ex,connected_lines,0.9981791749656456
15,mean_v_ex,disconnected_lines,-0.9981791749656447
16,mean_v_ex,connected_fraction,0.9981791749656266
17,connected_lines,disconnected_lines,-0.9999999999999994
18,connected_lines,connected_fraction,0.9999999999999972
19,disconnected_lines,connected_fraction,-0.9999999999999976
