,count,mean,std,min,25%,50%,75%,max
max_rho,300000.0,0.93325,0.33498,0.0,0.69861,0.83158,1.07638,2.0
mean_rho,300000.0,0.33956,0.08018,0.0,0.29132,0.33246,0.39134,0.72652
std_rho,300000.0,0.20503,0.06488,0.0,0.16701,0.1912,0.22755,0.60892
rho_range,300000.0,0.92684,0.33851,0.0,0.68814,0.82308,1.07573,2.0
rho_above_90_pct,300000.0,1.19728,2.37189,0.0,0.0,0.0,1.0,20.0
rho_above_100_pct,300000.0,0.79026,1.78735,0.0,0.0,0.0,1.0,19.0
total_load,300000.0,703.99932,234.76559,0.0,576.28,661.425,780.71,1836.73999
total_gen,300000.0,713.94462,235.37855,0.0,586.13819,672.86645,790.44332,1858.33154
load_gen_ratio,300000.0,0.9717,0.11542,0.0,0.98135,0.98594,0.99127,0.99741
power_balance,300000.0,9.9453,5.40606,0.0,6.32529,8.75067,12.50437,131.683
abs_power_balance,300000.0,9.9453,5.40606,0.0,6.32529,8.75067,12.50437,131.683
mean_abs_p_or,300000.0,26.25779,6.45591,0.0,22.58949,25.72973,30.8038,58.19292
mean_abs_q_or,300000.0,15.79152,2.24335,0.0,15.67016,16.02013,16.75831,20.13909
mean_v_or,300000.0,166.59046,20.10561,0.0,167.0016,170.4728,170.80855,173.46566
mean_v_ex,300000.0,152.8662,18.42738,0.0,153.66093,156.1881,156.45202,159.05026
connected_lines,300000.0,56.84248,6.83708,0.0,57.0,58.0,58.0,59.0
disconnected_lines,300000.0,2.15752,6.83708,0.0,1.0,1.0,2.0,59.0
connected_fraction,300000.0,0.96343,0.11588,0.0,0.9661,0.98305,0.98305,1.0
fault_loc,300000.0,9.80536,11.02629,-1.0,-1.0,9.0,22.0,33.0
timestep,300000.0,169.08792,173.06869,0.0,51.0,116.0,226.0,2258.0
reward,300000.0,69.81774,24.97998,-10.0,61.30692,72.90952,85.06414,136.37193
