,missing_values,missing_percentage,positive_infinity,negative_infinity
record_index,0,0.0,0,0
label,0,0.0,0,0
label_int,0,0.0,0,0
physical_label_reconstructed,0,0.0,0,0
fault_loc,0,0.0,0,0
timestep,0,0.0,0,0
chronic_id,0,0.0,0,0
reward,0,0.0,0,0
max_rho,0,0.0,0,0
min_rho,0,0.0,0,0
mean_rho,0,0.0,0,0
median_rho,0,0.0,0,0
std_rho,0,0.0,0,0
rho_q75,0,0.0,0,0
rho_range,0,0.0,0,0
rho_above_90_pct,0,0.0,0,0
rho_above_100_pct,0,0.0,0,0
rho_at_clip_count,0,0.0,0,0
total_load,0,0.0,0,0
mean_load,0,0.0,0,0
std_load,0,0.0,0,0
total_gen,0,0.0,0,0
mean_gen,0,0.0,0,0
std_gen,0,0.0,0,0
load_gen_ratio,0,0.0,0,0
power_balance,0,0.0,0,0
abs_power_balance,0,0.0,0,0
mean_abs_p_or,0,0.0,0,0
mean_abs_q_or,0,0.0,0,0
mean_v_or,0,0.0,0,0
mean_v_ex,0,0.0,0,0
total_lines,0,0.0,0,0
connected_lines,0,0.0,0,0
disconnected_lines,0,0.0,0,0
connected_fraction,0,0.0,0,0
