,dtype,unique_values,missing_values
record_index,int64,300000,0
label,category,4,0
label_int,int64,4,0
physical_label_reconstructed,object,4,0
fault_loc,int64,31,0
timestep,int64,1455,0
chronic_id,int64,26605,0
reward,float64,261869,0
max_rho,float64,274141,0
min_rho,float64,52723,0
mean_rho,float64,279550,0
median_rho,float64,274756,0
std_rho,float64,279559,0
rho_q75,float64,277236,0
rho_range,float64,275760,0
rho_above_90_pct,int64,21,0
rho_above_100_pct,int64,19,0
rho_at_clip_count,int64,1,0
total_load,float64,158308,0
mean_load,float64,158308,0
std_load,float64,159972,0
total_gen,float64,279523,0
mean_gen,float64,279523,0
std_gen,float64,279545,0
load_gen_ratio,float64,279545,0
power_balance,float64,279175,0
abs_power_balance,float64,279175,0
mean_abs_p_or,float64,279552,0
mean_abs_q_or,float64,279557,0
mean_v_or,float64,275400,0
mean_v_ex,float64,274064,0
total_lines,int64,1,0
connected_lines,int64,14,0
disconnected_lines,int64,14,0
connected_fraction,float64,14,0
