,minimum,maximum,mean,standard_deviation
max_rho,0.0,1.999998,0.93325,0.334982
mean_rho,0.0,0.726524,0.339559,0.080181
std_rho,0.0,0.608918,0.205027,0.064879
rho_range,0.0,1.999998,0.926839,0.338513
rho_above_90_pct,0.0,20.0,1.197277,2.371895
rho_above_100_pct,0.0,19.0,0.790257,1.787354
total_load,0.0,1836.739986,703.999316,234.765593
total_gen,0.0,1858.331535,713.944618,235.378553
load_gen_ratio,0.0,0.997414,0.971701,0.115418
power_balance,0.0,131.682998,9.945302,5.406062
abs_power_balance,0.0,131.682998,9.945302,5.406062
mean_abs_p_or,0.0,58.192916,26.257788,6.45591
mean_abs_q_or,0.0,20.139089,15.791523,2.243355
mean_v_or,0.0,173.465664,166.590464,20.105612
mean_v_ex,0.0,159.050259,152.866199,18.427382
connected_lines,0.0,59.0,56.842477,6.837081
disconnected_lines,0.0,59.0,2.157523,6.837081
connected_fraction,0.0,1.0,0.963432,0.115883
