,feature,f_statistic,p_value
0,max_rho,11231.424566753916,0.0
1,mean_rho,1238.04780520074,0.0
2,std_rho,4897.962032720685,0.0
3,rho_range,11522.556241848186,0.0
4,rho_above_90_pct,4298.390823571857,0.0
5,rho_above_100_pct,4423.342738405198,0.0
10,abs_power_balance,1042.7449178031711,0.0
9,power_balance,1042.7449178031711,0.0
14,mean_v_ex,712.982773729774,0.0
15,connected_lines,740.7595652614476,0.0
13,mean_v_or,696.2045733771789,0.0
12,mean_abs_q_or,522.963732475072,0.0
17,connected_fraction,740.759565261447,0.0
16,disconnected_lines,740.7595652614474,0.0
11,mean_abs_p_or,483.7764626458021,1.6898451313971795e-303
8,load_gen_ratio,365.2754251573315,5.57705088254102e-231
7,total_gen,270.53589706411987,3.916088675364367e-172
6,total_load,253.34512835056594,2.2620493996708784e-161
