,feature,class_a,class_b,ks_statistic,p_value
24,connected_fraction,normal,overload,0.9494,0.0
25,connected_fraction,normal,line_trip,1.0,0.0
26,connected_fraction,normal,cascade,1.0,0.0
27,connected_fraction,overload,line_trip,0.5042,0.0
28,connected_fraction,overload,cascade,0.4958,0.0
29,connected_fraction,line_trip,cascade,1.0,0.0
0,max_rho,normal,overload,1.0,0.0
3,max_rho,overload,line_trip,1.0,0.0
4,max_rho,overload,cascade,1.0,0.0
2,max_rho,normal,cascade,0.1342,1.2003302030766141e-39
1,max_rho,normal,line_trip,0.0938,1.476602397113724e-19
5,max_rho,line_trip,cascade,0.0708,2.5597632196986058e-11
10,mean_rho,overload,cascade,0.4018,0.0
9,mean_rho,overload,line_trip,0.337,6.62828944400912e-252
6,mean_rho,normal,overload,0.3112,3.110314248039706e-214
8,mean_rho,normal,cascade,0.1308,1.114735717244491e-37
11,mean_rho,line_trip,cascade,0.0918,9.496399806955853e-19
7,mean_rho,normal,line_trip,0.052,2.674899651678951e-06
22,total_gen,overload,cascade,0.1556,3.294736424788177e-53
21,total_gen,overload,line_trip,0.1116,1.5944023599873847e-27
20,total_gen,normal,cascade,0.1044,3.913522239759368e-24
18,total_gen,normal,overload,0.0902,4.088672352455799e-18
23,total_gen,line_trip,cascade,0.0856,2.354932585212776e-16
19,total_gen,normal,line_trip,0.0258,0.0717092782360969
16,total_load,overload,cascade,0.1456,1.2817820786493243e-46
15,total_load,overload,line_trip,0.1074,1.6134660487448442e-25
14,total_load,normal,cascade,0.105,2.0833779921716303e-24
17,total_load,line_trip,cascade,0.0898,5.865928454953228e-18
12,total_load,normal,overload,0.0844,6.546147402352552e-16
13,total_load,normal,line_trip,0.0256,0.07549139379338214
