,feature,shapiro_statistic,p_value,approximately_normal_at_0_05
6,load_gen_ratio,0.12015627528835005,7.618964889897126e-93,False
12,mean_v_ex,0.20934280828896323,2.2694820442972116e-90,False
11,mean_v_or,0.21604246873910082,3.5599310526470694e-90,False
10,mean_abs_q_or,0.553152385325203,9.740850809349608e-78,False
3,rho_above_90_pct,0.5669100290058993,4.495912832558813e-77,False
1,std_rho,0.8536155699216209,7.728687017013871e-56,False
4,total_load,0.8669473642745266,3.8873725550600164e-54,False
7,power_balance,0.869875588157236,9.600471468098623e-54,False
8,abs_power_balance,0.869875588157236,9.600471468098623e-54,False
5,total_gen,0.8706989310777395,1.241692329131233e-53,False
2,rho_range,0.8903037145376635,8.83702360140179e-51,False
0,mean_rho,0.9510532990331008,6.00398188890449e-38,False
9,mean_abs_p_or,0.9644368166551288,2.102597560733555e-33,False
