,feature,levene_statistic,p_value,equal_variance_at_0_05
0,max_rho,1281.4779831760334,0.0,False
2,std_rho,915.7344477873194,0.0,False
3,rho_range,1316.8862611326983,0.0,False
4,rho_above_90_pct,2060.6289958851157,0.0,False
5,rho_above_100_pct,1417.28254582796,0.0,False
12,mean_abs_q_or,443.35024821253836,6.808724038178713e-279,False
13,mean_v_or,417.7100559089942,3.240478746409451e-263,False
14,mean_v_ex,405.9287090724287,5.407924941121138e-256,False
15,connected_lines,403.1135380273323,2.8879891303678827e-254,False
16,disconnected_lines,403.1135380273323,2.8879891303678827e-254,False
17,connected_fraction,403.1135380273321,2.8879891303678827e-254,False
8,load_gen_ratio,372.3163614359737,2.5354036523013978e-235,False
10,abs_power_balance,256.444977743242,2.5825435950427117e-163,False
9,power_balance,256.444977743242,2.5825435950427117e-163,False
1,mean_rho,130.86724222930104,5.882442391493333e-84,False
11,mean_abs_p_or,129.55662566625963,4.0258309193984504e-83,False
6,total_load,96.38677928125534,6.168868719136649e-62,False
7,total_gen,95.05629595950228,4.3824010137018655e-61,False
