,feature,mutual_information
13,mean_v_or,0.9918804829917323
14,mean_v_ex,0.9050592134194542
15,connected_lines,0.7982808705168201
17,connected_fraction,0.7928179829228326
16,disconnected_lines,0.7903977297437252
3,rho_range,0.681821533415492
0,max_rho,0.6754894552133535
5,rho_above_100_pct,0.641262840212786
4,rho_above_90_pct,0.4924664789804809
2,std_rho,0.44362058942315774
12,mean_abs_q_or,0.14783930441859772
1,mean_rho,0.13588279174799212
9,power_balance,0.12122519514406305
10,abs_power_balance,0.12122177512658094
8,load_gen_ratio,0.1070986122717934
11,mean_abs_p_or,0.07382486187008475
7,total_gen,0.04817845748179739
6,total_load,0.041370748871044416
