,feature,importance
0,max_rho,0.13541192253090542
17,connected_fraction,0.1262328543794397
5,rho_above_100_pct,0.12427750456745094
15,connected_lines,0.11986078240752784
14,mean_v_ex,0.11584510753154678
16,disconnected_lines,0.10802445944737134
13,mean_v_or,0.0957025444215841
3,rho_range,0.09257181647449535
4,rho_above_90_pct,0.059574514526784535
2,std_rho,0.015822296649944712
12,mean_abs_q_or,0.0020366102890639354
8,load_gen_ratio,0.0014362257638235775
1,mean_rho,0.001275675960658061
10,abs_power_balance,0.0009117309005284447
6,total_load,0.00041305544994571454
7,total_gen,0.00021373477180391384
11,mean_abs_p_or,0.00020766345302123524
9,power_balance,0.00018150047410429623
