,feature,correlation_with_encoded_label,absolute_correlation
0,max_rho,-0.26137663621431045,0.26137663621431045
17,connected_fraction,-0.256924777289789,0.256924777289789
16,disconnected_lines,0.2569247772897888,0.2569247772897888
15,connected_lines,-0.25692477728978874,0.25692477728978874
14,mean_v_ex,-0.246165307580242,0.246165307580242
13,mean_v_or,-0.23840376990862305,0.23840376990862305
3,rho_range,-0.2333053488244253,0.2333053488244253
1,mean_rho,-0.22774822892986937,0.22774822892986937
12,mean_abs_q_or,-0.20432224018437495,0.20432224018437495
5,rho_above_100_pct,-0.1914875560760679,0.1914875560760679
2,std_rho,-0.18227331713498335,0.18227331713498335
8,load_gen_ratio,-0.17443059891266938,0.17443059891266938
4,rho_above_90_pct,-0.16682203040231286,0.16682203040231286
11,mean_abs_p_or,-0.1668049020967534,0.1668049020967534
7,total_gen,-0.13583410170656682,0.13583410170656682
6,total_load,-0.13323216859478737,0.13323216859478737
9,power_balance,-0.12839385894671337,0.12839385894671337
10,abs_power_balance,-0.12839385894671337,0.12839385894671337
