,feature,mean_permutation_importance,std_permutation_importance
0,max_rho,0.007855596272181664,0.00107993922970102
5,rho_above_100_pct,2.5935715013702954e-05,5.187143002740591e-05
1,mean_rho,0.0,0.0
2,std_rho,0.0,0.0
3,rho_range,0.0,0.0
4,rho_above_90_pct,0.0,0.0
6,total_load,0.0,0.0
7,total_gen,0.0,0.0
8,load_gen_ratio,0.0,0.0
9,power_balance,0.0,0.0
10,abs_power_balance,0.0,0.0
11,mean_abs_p_or,0.0,0.0
12,mean_abs_q_or,0.0,0.0
13,mean_v_or,0.0,0.0
14,mean_v_ex,0.0,0.0
15,connected_lines,0.0,0.0
16,disconnected_lines,0.0,0.0
17,connected_fraction,0.0,0.0
