,correlation_with_fault_loc,absolute_correlation
std_rho,0.3605176069890875,0.3605176069890875
mean_v_or,-0.34946182496441874,0.34946182496441874
rho_above_90_pct,0.3299709189607489,0.3299709189607489
mean_v_ex,-0.2932093360920496,0.2932093360920496
rho_above_100_pct,0.29007463007139034,0.29007463007139034
mean_rho,0.28357042117497494,0.28357042117497494
rho_range,0.26248746583634935,0.26248746583634935
max_rho,0.26178191749479873,0.26178191749479873
connected_lines,-0.20223371235270796,0.20223371235270796
disconnected_lines,0.20223371235261112,0.20223371235261112
connected_fraction,-0.20223371235258486,0.20223371235258486
abs_power_balance,0.19888367205186427,0.19888367205186427
power_balance,0.19888367205186427,0.19888367205186427
load_gen_ratio,-0.17954318928615293,0.17954318928615293
mean_abs_p_or,0.11571353937357305,0.11571353937357305
mean_abs_q_or,0.10136328117208003,0.10136328117208003
total_gen,0.056348844581838774,0.056348844581838774
total_load,0.05143620152532454,0.05143620152532454
