,feature,skewness,excess_kurtosis,normal_fit_ks_statistic,normal_fit_p_value
3,rho_above_90_pct,2.882429,8.783467,0.31465,0.0
6,load_gen_ratio,-9.12722,81.826619,0.436889,0.0
12,mean_v_ex,-8.61447,75.534074,0.363564,0.0
11,mean_v_or,-8.570093,74.988798,0.36087,0.0
10,mean_abs_q_or,-5.045306,33.647079,0.258939,0.0
1,std_rho,1.365936,4.836159,0.137184,0.0
2,rho_range,0.96201,1.187002,0.136093,0.0
4,total_load,1.371146,4.61899,0.121392,0.0
5,total_gen,1.330311,4.561016,0.119311,0.0
7,power_balance,2.283643,15.901763,0.105477,0.0
8,abs_power_balance,2.283643,15.901763,0.105477,0.0
0,mean_rho,-0.459031,2.988056,0.052069,0.0
9,mean_abs_p_or,-0.53211,2.13011,0.036543,3e-06
