,count,mean,std,min,25%,50%,75%,max
mean_rho,16.0,0.35718,0.046908,0.289837,0.325831,0.352008,0.382894,0.472517
std_rho,16.0,0.209143,0.019772,0.180939,0.198673,0.204727,0.213931,0.267394
rho_range,16.0,0.955602,0.031902,0.854309,0.948137,0.961043,0.969656,0.999608
rho_above_90_pct,16.0,1.1875,0.834166,0.0,1.0,1.0,1.0,4.0
total_load,16.0,991.923125,449.945199,498.239996,585.912507,776.695001,1376.922511,1664.729978
total_gen,16.0,1001.338145,449.36622,504.74759,594.621829,795.964502,1383.463257,1672.962915
load_gen_ratio,16.0,0.988618,0.006537,0.975646,0.985456,0.988371,0.994689,0.996128
power_balance,16.0,9.41502,4.144496,5.509893,6.89261,8.393014,9.574824,20.648197
abs_power_balance,16.0,9.41502,4.144496,5.509893,6.89261,8.393014,9.574824,20.648197
mean_abs_p_or,16.0,26.242499,5.140204,19.57735,23.581322,24.771337,27.286325,38.593749
mean_abs_q_or,16.0,16.803186,0.838312,15.773636,15.940208,16.759736,17.581022,18.080304
mean_v_or,16.0,170.656581,5.334397,152.961909,171.45877,172.955429,173.126711,173.312033
mean_v_ex,16.0,156.290609,5.340916,138.591844,157.083057,158.609228,158.785047,158.951216
