,record_index,label,node_rows,node_feature_dim,active_edges,edge_attr_rows,edge_feature_dim,expected_active_edges_from_line_status,dead_lines_removed,edge_attr_matches_edge_index,node_shape_valid,edge_feature_shape_valid,all_retained_edge_status_values_are_one,reciprocal_edge_fraction
0,260570,overload,36,4,59,59,4,59,True,True,True,True,True,0.0
1,131539,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
2,155216,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
3,257689,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
4,244804,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
5,140581,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
6,252970,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
7,219891,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
8,258344,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
9,232664,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
10,287393,overload,36,4,56,56,4,56,True,True,True,True,True,0.0
11,140749,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
12,161557,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
13,277138,overload,36,4,55,55,4,55,True,True,True,True,True,0.0
14,123321,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
15,286419,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
16,224651,overload,36,4,56,56,4,56,True,True,True,True,True,0.0
17,223062,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
18,169381,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
19,254324,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
20,161127,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
21,207616,overload,36,4,56,56,4,56,True,True,True,True,True,0.0
22,189022,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
23,162760,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
24,249377,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
25,12801,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
26,164473,overload,36,4,55,55,4,55,True,True,True,True,True,0.0
27,13235,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
28,164696,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
29,171542,overload,36,4,56,56,4,56,True,True,True,True,True,0.0
30,159511,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
31,214946,overload,36,4,55,55,4,55,True,True,True,True,True,0.0
32,278472,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
33,299722,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
34,8221,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
35,247541,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
36,195808,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
37,283063,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
38,198679,overload,36,4,59,59,4,59,True,True,True,True,True,0.0
39,263576,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
40,263880,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
41,220090,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
42,281684,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
43,246563,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
44,130366,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
45,158600,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
46,297113,overload,36,4,58,58,4,58,True,True,True,True,True,0.0
47,283041,overload,36,4,57,57,4,57,True,True,True,True,True,0.0
48,205712,overload,36,4,55,55,4,55,True,True,True,True,True,0.0
49,61547,overload,36,4,55,55,4,55,True,True,True,True,True,0.0
