,line_id,origin_substation,extremity_substation,mean_rho,maximum_rho,overload_frames,overload_frame_pct,disconnected_frames,disconnected_frame_pct,line_trip_disconnect_frames,cascade_disconnect_frames,endpoint_pair
13,13,11,12,0.54670832454246,1.9999454021453857,26969,8.989666666666666,32242,10.747333333333334,6963,18150,11 -> 12
41,41,26,28,0.5978298503462474,1.9995126724243164,21091,7.030333333333333,29947,9.982333333333333,1345,8981,26 -> 28
39,39,22,26,0.5100407985146344,1.9993045330047607,15626,5.208666666666667,24319,8.106333333333334,5351,12018,22 -> 26
56,56,30,26,0.38453642439996205,1.4900206327438354,179,0.059666666666666666,23429,7.809666666666667,355,4826,30 -> 26
45,45,30,31,0.38453642439996205,1.4900206327438354,179,0.059666666666666666,22729,7.576333333333333,500,4812,30 -> 31
18,18,9,16,0.2749617212223137,1.9347171783447266,119,0.03966666666666667,19924,6.641333333333334,5020,10501,9 -> 16
0,0,2,3,0.4592799384183654,1.999849557876587,9940,3.3133333333333335,19800,6.6,5777,10240,2 -> 3
23,23,16,18,0.5316063390341603,1.5493669509887695,8520,2.84,17735,5.911666666666667,2573,8050,16 -> 18
40,40,26,27,0.3973533154308237,1.9994773864746094,15166,5.0553333333333335,16281,5.427,839,6539,26 -> 27
9,9,7,9,0.1700550693991594,1.8994674682617188,474,0.158,15377,5.125666666666667,4020,9040,7 -> 9
14,14,12,13,0.25328571388036014,1.4904130697250366,690,0.23,15296,5.0986666666666665,3563,8014,12 -> 13
27,27,16,21,0.3109677015762031,1.9999977350234985,891,0.297,15016,5.005333333333334,3597,8591,16 -> 21
42,42,27,28,0.2942742675846784,1.2641257047653198,331,0.11033333333333334,12789,4.263,505,6553,27 -> 28
43,43,27,29,0.23674599255517745,1.9922943115234375,4925,1.6416666666666666,12730,4.243333333333333,1222,7989,27 -> 29
58,58,32,33,0.6114750420107444,1.2055667638778687,184,0.06133333333333333,12285,4.095,275,5676,32 -> 33
55,55,5,4,0.6144859819554289,1.7883936166763306,159,0.053,11618,3.8726666666666665,526,6119,5 -> 4
20,20,12,16,0.45424718618695936,1.9935312271118164,8127,2.709,10985,3.6616666666666666,960,6973,12 -> 16
34,34,23,25,0.5036319727258323,1.9996079206466675,19518,6.506,10870,3.6233333333333335,940,6376,23 -> 25
46,46,5,32,0.4539023537920415,1.2852116823196411,31,0.010333333333333333,10399,3.4663333333333335,268,5809,5 -> 32
1,1,2,4,0.40884337831899525,1.0901850461959839,76,0.025333333333333333,9944,3.3146666666666667,165,4448,2 -> 4
47,47,31,32,0.3654324288741872,1.3309948444366455,10,0.0033333333333333335,9834,3.278,178,4546,31 -> 32
32,32,23,24,0.48131926298271815,1.9970126152038574,16136,5.378666666666667,9827,3.2756666666666665,901,6126,23 -> 24
3,3,1,3,0.26477882570219535,1.1247700452804565,204,0.068,9657,3.219,330,4525,1 -> 3
51,51,29,34,0.2553535355886044,1.9996318817138672,4294,1.4313333333333333,8925,2.975,944,6079,29 -> 34
31,31,22,23,0.3993018971664288,1.8415560722351074,6400,2.1333333333333333,8632,2.8773333333333335,895,5451,22 -> 23
29,29,21,22,0.18212165288767468,1.999302625656128,1966,0.6553333333333333,8524,2.8413333333333335,888,6019,21 -> 22
35,35,18,25,0.510342792534257,1.8303073644638062,16736,5.578666666666667,8521,2.840333333333333,1075,6205,18 -> 25
25,25,19,20,0.32903649157524106,1.9592058658599854,1953,0.651,8500,2.8333333333333335,801,5670,19 -> 20
50,50,29,33,0.2679739058250189,1.9989852905273438,3961,1.3203333333333334,8323,2.7743333333333333,890,5814,29 -> 33
19,19,9,16,0.29348805072604367,1.9708507061004639,172,0.05733333333333333,8266,2.755333333333333,860,5834,9 -> 16
12,12,1,10,0.3352398456431576,0.9111700057983398,0,0.0,8262,2.754,768,5451,1 -> 10
30,30,21,23,0.106586593337326,1.4719691276550293,700,0.23333333333333334,8254,2.751333333333333,777,5598,21 -> 23
37,37,23,26,0.30969443892275295,1.9998555183410645,2451,0.817,8198,2.732666666666667,889,5880,23 -> 26
44,44,28,29,0.1384990716417165,1.9750546216964722,2499,0.833,8083,2.6943333333333332,933,6039,28 -> 29
36,36,21,26,0.308308237606436,1.9959877729415894,2562,0.854,7980,2.66,961,5625,21 -> 26
17,17,14,16,0.17798597834766533,1.2449135780334473,28,0.009333333333333334,7948,2.6493333333333333,837,6041,14 -> 16
38,38,23,26,0.30736551611887913,1.9934771060943604,2427,0.809,7907,2.635666666666667,883,5653,23 -> 26
6,6,4,7,0.15646658346297104,1.9933489561080933,324,0.108,7843,2.614333333333333,1013,6032,4 -> 7
49,49,16,33,0.30664479691897206,1.7028262615203857,293,0.09766666666666667,7686,2.562,876,5762,16 -> 33
8,8,7,8,0.2248503574863573,1.9296841621398926,790,0.2633333333333333,7649,2.5496666666666665,779,5900,7 -> 8
24,24,18,19,0.3233090164176072,1.3008301258087158,75,0.025,7645,2.5483333333333333,665,5416,18 -> 19
21,21,15,16,0.2951896989957367,1.3798580169677734,137,0.04566666666666667,7578,2.526,760,5750,15 -> 16
48,48,16,33,0.3068163944454957,1.744276762008667,272,0.09066666666666667,7558,2.5193333333333334,805,5650,16 -> 33
22,22,16,17,0.5470809977645055,1.5881537199020386,9297,3.099,7538,2.5126666666666666,812,5549,16 -> 17
5,5,4,6,0.1869051994413572,1.9706858396530151,381,0.127,7524,2.508,785,5830,4 -> 6
57,57,31,28,0.38238893540487545,1.5181779861450195,2925,0.975,7484,2.494666666666667,824,5534,31 -> 28
54,54,16,35,0.1702069446745763,1.3291555643081665,77,0.025666666666666667,7376,2.458666666666667,963,5731,16 -> 35
7,7,6,7,0.15816912644255735,1.4955594539642334,117,0.039,7331,2.4436666666666667,780,5748,6 -> 7
16,16,13,15,0.20719823030182433,1.9975316524505615,471,0.157,7301,2.433666666666667,822,5746,13 -> 15
26,26,20,21,0.2937443134240061,1.7913087606430054,1596,0.532,7273,2.4243333333333332,859,5510,20 -> 21
33,33,17,24,0.5224219576709097,1.7665274143218994,13095,4.365,7255,2.4183333333333334,785,5576,17 -> 24
52,52,33,34,0.2843869160151916,1.406192660331726,2287,0.7623333333333333,7247,2.4156666666666666,975,5710,33 -> 34
53,53,14,35,0.17978503713945548,1.1656935214996338,15,0.005,7233,2.411,821,5775,14 -> 35
10,10,8,9,0.1945905395568783,1.5002720355987549,252,0.084,7201,2.400333333333333,785,5607,8 -> 9
28,28,16,21,0.3222015668667108,1.9960002899169922,940,0.31333333333333335,7128,2.376,782,5383,16 -> 21
15,15,13,14,0.25308008896228973,1.967410683631897,769,0.25633333333333336,7031,2.3436666666666666,736,5455,13 -> 14
11,11,10,11,0.5759600216382711,1.7539503574371338,7270,2.4233333333333333,6849,2.283,799,5145,10 -> 11
4,4,1,4,0.5265764766230185,0.8430547714233398,0,0.0,6016,2.005333333333333,0,4199,1 -> 4
2,2,0,4,0.1843955357101808,0.6520119309425354,0,0.0,4155,1.385,0,4155,0 -> 4
