,first_line_id,second_line_id,first_line_path,second_line_path,co_disconnected_frames
0,41,56,26 -> 28,30 -> 26,13405
1,41,45,26 -> 28,30 -> 31,12772
2,40,41,26 -> 27,26 -> 28,12715
3,40,56,26 -> 27,30 -> 26,8182
4,42,43,27 -> 28,27 -> 29,7916
5,40,45,26 -> 27,30 -> 31,7854
6,13,39,11 -> 12,22 -> 26,7110
7,13,41,11 -> 12,26 -> 28,6847
8,41,43,26 -> 28,27 -> 29,6752
9,13,18,11 -> 12,9 -> 16,6592
10,41,42,26 -> 28,27 -> 28,6376
11,13,55,11 -> 12,5 -> 4,6364
12,13,20,11 -> 12,12 -> 16,6249
13,39,58,22 -> 26,32 -> 33,6184
14,13,58,11 -> 12,32 -> 33,6175
15,0,4,2 -> 3,1 -> 4,6013
16,39,41,22 -> 26,26 -> 28,5968
17,13,46,11 -> 12,5 -> 32,5905
18,20,55,12 -> 16,5 -> 4,5841
19,23,39,16 -> 18,22 -> 26,5839
20,23,34,16 -> 18,23 -> 25,5744
21,13,40,11 -> 12,26 -> 27,5694
22,13,56,11 -> 12,30 -> 26,5564
23,13,45,11 -> 12,30 -> 31,5489
24,32,39,23 -> 24,22 -> 26,5441
25,32,41,23 -> 24,26 -> 28,5396
26,39,40,22 -> 26,26 -> 27,5311
27,39,55,22 -> 26,5 -> 4,5306
28,25,32,19 -> 20,23 -> 24,5298
29,23,32,16 -> 18,23 -> 24,5297
30,47,51,31 -> 32,29 -> 34,5271
31,50,51,29 -> 33,29 -> 34,5218
32,32,34,23 -> 24,23 -> 25,5191
33,34,41,23 -> 25,26 -> 28,5143
34,20,39,12 -> 16,22 -> 26,5129
35,13,51,11 -> 12,29 -> 34,5122
36,25,34,19 -> 20,23 -> 25,5112
37,34,39,23 -> 25,22 -> 26,5069
38,13,43,11 -> 12,27 -> 29,5064
39,25,41,19 -> 20,26 -> 28,5049
40,47,50,31 -> 32,29 -> 33,4984
41,13,50,11 -> 12,29 -> 33,4977
42,0,13,2 -> 3,11 -> 12,4976
43,37,39,23 -> 26,22 -> 26,4976
44,39,56,22 -> 26,30 -> 26,4958
45,34,40,23 -> 25,26 -> 27,4956
46,32,40,23 -> 24,26 -> 27,4952
47,13,47,11 -> 12,31 -> 32,4907
48,27,39,16 -> 21,22 -> 26,4903
49,38,39,23 -> 26,22 -> 26,4881
