,first_line_id,second_line_id,first_line_path,second_line_path,co_disconnected_frames
0,13,18,11 -> 12,9 -> 16,6149
1,41,43,26 -> 28,27 -> 29,5912
2,13,39,11 -> 12,22 -> 26,5897
3,42,43,27 -> 28,27 -> 29,5431
4,41,42,26 -> 28,27 -> 28,5376
5,13,55,11 -> 12,5 -> 4,5332
6,13,20,11 -> 12,12 -> 16,5303
7,13,46,11 -> 12,5 -> 32,5296
8,40,41,26 -> 27,26 -> 28,4966
9,39,58,22 -> 26,32 -> 33,4942
10,13,58,11 -> 12,32 -> 33,4935
11,23,39,16 -> 18,22 -> 26,4929
12,20,55,12 -> 16,5 -> 4,4827
13,0,13,2 -> 3,11 -> 12,4819
14,13,41,11 -> 12,26 -> 28,4761
15,13,19,11 -> 12,9 -> 16,4713
16,39,55,22 -> 26,5 -> 4,4672
17,13,43,11 -> 12,27 -> 29,4658
18,20,39,12 -> 16,22 -> 26,4637
19,13,27,11 -> 12,16 -> 21,4631
20,32,39,23 -> 24,22 -> 26,4620
21,9,13,7 -> 9,11 -> 12,4613
22,13,17,11 -> 12,14 -> 16,4610
23,13,48,11 -> 12,16 -> 33,4598
24,23,32,16 -> 18,23 -> 24,4597
25,8,13,7 -> 8,11 -> 12,4590
26,39,41,22 -> 26,26 -> 28,4589
27,13,23,11 -> 12,16 -> 18,4563
28,6,13,4 -> 7,11 -> 12,4558
29,13,40,11 -> 12,26 -> 27,4518
30,13,42,11 -> 12,27 -> 28,4517
31,5,13,4 -> 6,11 -> 12,4507
32,13,33,11 -> 12,17 -> 24,4492
33,13,51,11 -> 12,29 -> 34,4490
34,7,13,6 -> 7,11 -> 12,4489
35,13,21,11 -> 12,15 -> 16,4489
36,0,20,2 -> 3,12 -> 16,4487
37,13,34,11 -> 12,23 -> 25,4477
38,14,39,12 -> 13,22 -> 26,4472
39,13,35,11 -> 12,18 -> 25,4470
40,37,39,23 -> 26,22 -> 26,4470
41,39,43,22 -> 26,27 -> 29,4467
42,9,18,7 -> 9,9 -> 16,4462
43,13,50,11 -> 12,29 -> 33,4461
44,27,39,16 -> 21,22 -> 26,4459
45,10,13,8 -> 9,11 -> 12,4457
46,14,43,12 -> 13,27 -> 29,4452
47,9,27,7 -> 9,16 -> 21,4448
48,18,39,9 -> 16,22 -> 26,4446
49,0,14,2 -> 3,12 -> 13,4443
