,substation_id,static_degree,attached_load_count,attached_generator_count,betweenness_centrality,closeness_centrality,is_articulation_point,fault_location_records,overload_endpoint_frames,disconnect_endpoint_frames,cascade_disconnect_endpoint_frames,disconnect_exposure_per_attached_line
16,16,9,1,4,0.564754,0.448718,False,11351,28873.0,124738.0,79815.0,13859.777778
26,26,6,1,1,0.108543,0.315315,False,32727,59502.0,118061.0,49522.0,19676.833333
12,12,3,1,0,0.117075,0.343137,False,10105,35786.0,58523.0,33137.0,19507.666667
28,28,4,0,1,0.032693,0.289256,False,1123,26846.0,58303.0,27107.0,14575.75
21,21,5,1,1,0.194138,0.37234,False,4486,8655.0,54175.0,36726.0,10835.0
23,23,5,1,3,0.040056,0.304348,False,16885,47632.0,53688.0,35084.0,10737.6
9,9,3,1,2,0.20527,0.368421,False,6006,1017.0,50768.0,30982.0,16922.666667
4,4,6,0,0,0.218051,0.299145,True,2102,940.0,47100.0,30783.0,7850.0
30,30,2,0,0,0.012945,0.275591,False,925,358.0,46158.0,9638.0,23079.0
33,33,4,1,1,0.180532,0.380435,False,975,6997.0,43099.0,28612.0,10774.75
27,27,3,1,1,0.008263,0.269231,False,4718,20422.0,41800.0,21081.0,13933.333333
22,22,3,1,1,0.0,0.294118,False,14984,23992.0,41475.0,23488.0,13825.0
31,31,3,0,0,0.052921,0.289256,False,1038,3114.0,40047.0,14892.0,13349.0
11,11,2,1,0,0.067439,0.286885,False,26603,34239.0,39091.0,23295.0,19545.5
7,7,4,1,1,0.156251,0.318182,False,5603,1705.0,38200.0,26720.0,9550.0
29,29,4,1,2,0.040756,0.304348,False,6295,15679.0,38061.0,25921.0,9515.25
18,18,3,1,0,0.080392,0.330189,False,3272,25331.0,33901.0,19671.0,11300.333333
32,32,3,1,1,0.140876,0.336538,False,275,225.0,32518.0,16031.0,10839.333333
2,2,2,1,0,0.020328,0.234899,False,15806,10016.0,29744.0,14688.0,14872.0
13,13,3,1,1,0.007843,0.267176,False,2280,1930.0,29628.0,19215.0,9876.0
3,3,2,1,0,0.003417,0.202312,False,0,10144.0,29457.0,14765.0,14728.5
1,1,3,2,1,0.066058,0.248227,False,1098,204.0,23935.0,14175.0,7978.333333
14,14,3,1,0,0.016303,0.321101,False,1670,812.0,22212.0,17271.0,7404.0
5,5,2,1,0,0.093677,0.29661,False,848,190.0,22017.0,11928.0,11008.5
25,25,2,1,0,0.007563,0.282258,False,0,36254.0,19391.0,12581.0,9695.5
24,24,2,1,0,0.006162,0.277778,False,0,29231.0,17082.0,11702.0,8541.0
34,34,2,1,0,0.0,0.286885,False,0,6581.0,16172.0,11789.0,8086.0
19,19,2,1,0,0.002521,0.265152,False,1024,2028.0,16145.0,11086.0,8072.5
20,20,2,1,0,0.012605,0.28,False,2390,3549.0,15773.0,11180.0,7886.5
10,10,2,1,0,0.043629,0.255474,False,848,7270.0,15111.0,10596.0,7555.5
15,15,2,1,0,0.014622,0.318182,False,760,608.0,14879.0,11496.0,7439.5
6,6,2,1,0,0.0,0.265152,False,780,498.0,14855.0,11578.0,7427.5
8,8,2,1,0,0.0,0.291667,False,785,1042.0,14850.0,11507.0,7425.0
17,17,2,1,0,0.037255,0.321101,False,794,22392.0,14793.0,11125.0,7396.5
35,35,2,4,1,0.0,0.318182,False,0,92.0,14609.0,11506.0,7304.5
0,0,1,2,0,0.0,0.231788,False,0,0.0,4155.0,4155.0,4155.0
