,record_index,label,active_lines,disconnected_lines,connected_components,largest_component_size,largest_component_fraction,isolated_substations,dynamic_density,disconnected_static_bridge_lines,is_fragmented
0,260570,overload,59,0,1,36,1.0,0,0.0873015873015873,0,False
1,131539,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
2,155216,overload,57,2,1,36,1.0,0,0.08571428571428572,0,False
3,257689,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
4,244804,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
5,140581,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
6,252970,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
7,219891,overload,57,2,1,36,1.0,0,0.08571428571428572,0,False
8,258344,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
9,232664,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
10,287393,overload,56,3,1,36,1.0,0,0.08253968253968254,0,False
11,140749,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
12,161557,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
13,277138,overload,55,4,1,36,1.0,0,0.08095238095238096,0,False
14,123321,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
15,286419,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
16,224651,overload,56,3,1,36,1.0,0,0.08253968253968254,0,False
17,223062,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
18,169381,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
19,254324,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
20,161127,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
21,207616,overload,56,3,1,36,1.0,0,0.08253968253968254,0,False
22,189022,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
23,162760,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
24,249377,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
25,12801,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
26,164473,overload,55,4,1,36,1.0,0,0.08095238095238096,0,False
27,13235,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
28,164696,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
29,171542,overload,56,3,1,36,1.0,0,0.08412698412698413,0,False
30,159511,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
31,214946,overload,55,4,1,36,1.0,0,0.08095238095238096,0,False
32,278472,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
33,299722,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
34,8221,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
35,247541,overload,57,2,1,36,1.0,0,0.08571428571428572,0,False
36,195808,overload,57,2,1,36,1.0,0,0.08571428571428572,0,False
37,283063,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
38,198679,overload,59,0,1,36,1.0,0,0.0873015873015873,0,False
39,263576,overload,57,2,1,36,1.0,0,0.08571428571428572,0,False
40,263880,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
41,220090,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
42,281684,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
43,246563,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
44,130366,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
45,158600,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
46,297113,overload,58,1,1,36,1.0,0,0.08571428571428572,0,False
47,283041,overload,57,2,1,36,1.0,0,0.08412698412698413,0,False
48,205712,overload,55,4,1,36,1.0,0,0.08253968253968254,0,False
49,61547,overload,55,4,1,36,1.0,0,0.08095238095238096,0,False
