chronic_id,records,observed_episodes,first_record_index,last_record_index,minimum_timestep,maximum_timestep,mean_max_rho,mean_disconnected_lines,normal_records,overload_records,line_trip_records,cascade_records
0,110,1,0,109,5,288,0.760694,1.581818,5,8,91,6
1,169,1,110,278,5,523,0.748428,1.497041,10,5,117,37
2,14,1,279,292,10,55,1.008869,5.571429,0,6,7,1
3,40,1,293,332,1,288,0.643014,2.425,6,1,27,6
4,54,1,333,386,4,254,0.697475,2.037037,5,0,45,4
5,40,1,387,426,3,166,0.691095,2.25,9,2,27,2
6,34,1,427,460,21,94,0.899015,2.735294,1,2,30,1
7,13,1,461,473,0,98,0.837567,5.461538,2,2,8,1
8,9,1,474,482,13,28,0.543187,7.444444,0,0,8,1
9,50,1,483,532,24,112,0.752136,2.44,2,2,33,13
10,23,1,533,555,22,44,0.941085,3.608696,0,2,20,1
11,142,1,556,697,6,305,0.795776,2.042254,2,9,83,48
12,40,1,698,737,12,153,0.637189,2.5,0,1,36,3
13,9,1,738,746,0,25,0.717088,7.444444,0,2,6,1
14,21,1,747,767,15,121,0.836007,4.047619,1,0,12,8
15,92,1,768,859,9,289,0.766819,1.597826,3,4,84,1
16,168,1,860,1027,30,478,0.750734,1.488095,5,6,133,24
17,130,1,1028,1157,9,304,0.789059,1.561538,3,12,100,15
18,162,1,1158,1319,2,412,0.711641,1.765432,4,10,105,43
19,44,1,1320,1363,8,109,0.691731,2.636364,1,0,27,16
20,5,1,1364,1368,3,19,0.839845,12.2,2,2,0,1
21,17,1,1369,1385,10,141,0.844872,3.941176,8,0,8,1
22,19,1,1386,1404,19,78,0.953387,4.315789,1,6,11,1
23,85,1,1405,1489,7,114,0.799991,3.070588,0,8,10,67
24,38,1,1490,1527,2,98,0.830453,2.5,2,5,30,1
25,101,1,1528,1628,3,248,0.689437,1.722772,2,2,79,18
26,16,1,1629,1644,11,30,0.769358,5.0625,0,2,8,6
27,2,1,1645,1646,4,17,0.316139,29.5,1,0,0,1
