generation_bin,records,unique_chronics,mean_max_rho,mean_disconnected_lines,mean_connected_fraction,first_record_index,last_record_index
00-10%,30000,484,0.775748,2.2543,0.961792,0,29999
10-20%,30000,504,0.777441,2.294667,0.961107,30000,59999
20-30%,30000,565,0.783178,2.4284,0.958841,60000,89999
30-40%,30000,735,0.791117,2.875467,0.951263,90000,119999
40-50%,30000,1455,0.826699,4.7652,0.919234,120000,149999
50-60%,30000,3800,1.012188,2.2329,0.962154,150000,179999
60-70%,30000,4733,1.090323,1.187567,0.979872,180000,209999
70-80%,30000,4779,1.092377,1.1859,0.9799,210000,239999
80-90%,30000,4810,1.092278,1.184433,0.979925,240000,269999
90-100%,30000,4749,1.091147,1.1664,0.980231,270000,299999
