,proxy_feature,mutual_information,raw_field,selected_by_current_graph_builder
8,v_or__mean,0.98416716,v_or,True
13,v_or__abs_mean,0.98413553,v_or,True
12,v_or__sum,0.98410416,v_or,True
9,v_or__std,0.97296394,v_or,True
89,v_ex__std,0.94964159,v_ex,False
92,v_ex__sum,0.89690532,v_ex,False
88,v_ex__mean,0.89687665,v_ex,False
93,v_ex__abs_mean,0.89685128,v_ex,False
24,line_status__mean,0.7993538,line_status,True
78,p_ex__nonzero_fraction,0.79907111,p_ex,False
46,q_or__nonzero_fraction,0.79774865,q_or,True
86,q_ex__nonzero_fraction,0.79708988,q_ex,False
28,line_status__sum,0.79706911,line_status,True
96,topo_vect__mean,0.79619905,topo_vect,False
38,p_or__nonzero_fraction,0.79606466,p_or,True
29,line_status__abs_mean,0.79503616,line_status,True
100,topo_vect__sum,0.79429953,topo_vect,False
94,v_ex__nonzero_fraction,0.79422622,v_ex,False
22,rho__nonzero_fraction,0.79329743,rho,True
30,line_status__nonzero_fraction,0.79202428,line_status,True
14,v_or__nonzero_fraction,0.78905405,v_or,True
25,line_status__std,0.7487376,line_status,True
97,topo_vect__std,0.7399983,topo_vect,False
19,rho__maximum,0.67035136,rho,True
90,v_ex__minimum,0.48486991,v_ex,False
10,v_or__minimum,0.47931728,v_or,True
18,rho__minimum,0.47677611,rho,True
26,line_status__minimum,0.46521318,line_status,True
98,topo_vect__minimum,0.46366917,topo_vect,False
17,rho__std,0.43648017,rho,True
31,line_status__unique_count,0.43373961,line_status,True
103,topo_vect__unique_count,0.43165206,topo_vect,False
87,q_ex__unique_count,0.37039039,q_ex,False
47,q_or__unique_count,0.36816668,q_or,True
79,p_ex__unique_count,0.36651929,p_ex,False
39,p_or__unique_count,0.36384172,p_or,True
23,rho__unique_count,0.35137016,rho,True
15,v_or__unique_count,0.27410683,v_or,True
95,v_ex__unique_count,0.22851918,v_ex,False
67,gen_q__maximum,0.22741577,gen_q,False
41,q_or__std,0.19721195,q_or,True
81,q_ex__std,0.17128169,q_ex,False
45,q_or__abs_mean,0.14541357,q_or,True
20,rho__sum,0.14040331,rho,True
21,rho__abs_mean,0.14040331,rho,True
16,rho__mean,0.14040331,rho,True
65,gen_q__std,0.13377106,gen_q,False
82,q_ex__minimum,0.12988675,q_ex,False
43,q_or__maximum,0.12975396,q_or,True
84,q_ex__sum,0.12891863,q_ex,False
80,q_ex__mean,0.12891863,q_ex,False
69,gen_q__abs_mean,0.12772583,gen_q,False
74,p_ex__minimum,0.11801817,p_ex,False
36,p_or__sum,0.11774564,p_or,True
32,p_or__mean,0.11774564,p_or,True
35,p_or__maximum,0.11606524,p_or,True
40,q_or__mean,0.10809975,q_or,True
44,q_or__sum,0.10809975,q_or,True
76,p_ex__sum,0.10786998,p_ex,False
72,p_ex__mean,0.10786998,p_ex,False
85,q_ex__abs_mean,0.08980768,q_ex,False
42,q_or__minimum,0.08530751,q_or,True
83,q_ex__maximum,0.07810722,q_ex,False
66,gen_q__minimum,0.0771665,gen_q,False
37,p_or__abs_mean,0.07307977,p_or,True
73,p_ex__std,0.07014132,p_ex,False
77,p_ex__abs_mean,0.06731714,p_ex,False
64,gen_q__mean,0.06573102,gen_q,False
68,gen_q__sum,0.06573102,gen_q,False
11,v_or__maximum,0.06222907,v_or,True
75,p_ex__maximum,0.06178403,p_ex,False
33,p_or__std,0.06011275,p_or,True
34,p_or__minimum,0.05959836,p_or,True
57,gen_p__std,0.0481929,gen_p,False
53,load_q__abs_mean,0.04629643,load_q,False
3,load_p__maximum,0.0440115,load_p,True
4,load_p__sum,0.04367992,load_p,True
0,load_p__mean,0.0435279,load_p,True
49,load_q__std,0.04251505,load_q,False
56,gen_p__mean,0.04116559,gen_p,False
61,gen_p__abs_mean,0.04116559,gen_p,False
60,gen_p__sum,0.04116559,gen_p,False
52,load_q__sum,0.03788136,load_q,False
48,load_q__mean,0.03776038,load_q,False
59,gen_p__maximum,0.03750947,gen_p,False
51,load_q__maximum,0.03681763,load_q,False
2,load_p__minimum,0.03657711,load_p,True
50,load_q__minimum,0.03586904,load_q,False
62,gen_p__nonzero_fraction,0.03559826,gen_p,False
5,load_p__abs_mean,0.03422288,load_p,True
91,v_ex__maximum,0.02848382,v_ex,False
63,gen_p__unique_count,0.0280745,gen_p,False
54,load_q__nonzero_fraction,0.02775591,load_q,False
1,load_p__std,0.02644684,load_p,True
71,gen_q__unique_count,0.02601187,gen_q,False
55,load_q__unique_count,0.02596752,load_q,False
7,load_p__unique_count,0.02571889,load_p,True
6,load_p__nonzero_fraction,0.0242825,load_p,True
27,line_status__maximum,0.02335224,line_status,True
99,topo_vect__maximum,0.0230812,topo_vect,False
70,gen_q__nonzero_fraction,0.02016644,gen_q,False
101,topo_vect__abs_mean,0.00613529,topo_vect,False
58,gen_p__minimum,0.0038098,gen_p,False
102,topo_vect__nonzero_fraction,0.0,topo_vect,False
